"nbAct";"listAct";"crew_id"
2;"[20180805AF1233ATHCDG01,20180805AF1232CDGATH01]";"crew1"
2;"[20180806AF1233ATHCDG01,20180806AF1232CDGATH01]";"crew2"
2;"[20180808AF1233ATHCDG01,20180808AF1232CDGATH01]";"crew3"
2;"[20180810AF1233ATHCDG01,20180810AF1232CDGATH01]";"crew4"
2;"[20180805AF1555ALGCDG01,20180805AF1554CDGALG01]";"crew5"
2;"[20180806AF1555ALGCDG01,20180806AF1554CDGALG01]";"crew6"
2;"[20180807AF1555ALGCDG01,20180807AF1554CDGALG01]";"crew7"
2;"[20180808AF1555ALGCDG01,20180808AF1554CDGALG01]";"crew8"
2;"[20180810AF1555ALGCDG01,20180810AF1554CDGALG01]";"crew9"
2;"[20180806AF1431ORNCDG01,20180806AF1430CDGORN01]";"crew10"
2;"[20180808AF1431ORNCDG01,20180808AF1430CDGORN01]";"crew11"
2;"[20180809AF1431ORNCDG01,20180809AF1430CDGORN01]";"crew12"
2;"[20180810AF1431ORNCDG01,20180810AF1430CDGORN01]";"crew13"
2;"[20180807AF1833ATHCDG01,20180807AF1832CDGATH01]";"crew14"
2;"[20180808AF1833ATHCDG01,20180808AF1832CDGATH01]";"crew15"
2;"[20180805AF1196CDGCMN01,20180805AF1197CMNCDG01]";"crew16"
2;"[20180808AF1196CDGCMN01,20180808AF1197CMNCDG01]";"crew17"
2;"[20180808AF1459RBACDG01,20180808AF1458CDGRBA01]";"crew18"
2;"[20180809AF1229BLQCDG01,20180809AF1228CDGBLQ01]";"crew19"
2;"[20180806AF1754CDGALG01,20180806AF1755ALGCDG01]";"crew20"
2;"[20180808AF1754CDGALG01,20180808AF1755ALGCDG01]";"crew21"
2;"[20180810AF1754CDGALG01,20180810AF1755ALGCDG01]";"crew22"
2;"[20180807AF1001MADCDG01,20180807AF1000CDGMAD01]";"crew23"
1;"[20180804AF1132CDGATH01]";"crew24"
2;"[20180806AF1165BHXCDG01,20180806AF1164CDGBHX01]";"crew25"
2;"[20180805AF1784CDGTUN01,20180806AF1785TUNCDG01]";"crew26"
2;"[20180808AF1784CDGTUN01,20180809AF1785TUNCDG01]";"crew27"
1;"[20180810AF1784CDGTUN01]";"crew28"
