"leg_id";"type";"aircraft";"depAirport";"arrAirport";"depTime";"arrTime"
"________20180810AF1440CDGAMS01 ";"LEG";"FGRHM";"CDG ";"AMS ";"2018-08-10T16:00:00Z";"2018-08-10T17:15:00Z"
"________20180805AF1440CDGAMS01 ";"LEG";"FGRHK";"CDG ";"AMS ";"2018-08-05T16:00:00Z";"2018-08-05T17:15:00Z"
"________20180805AF1140CDGAMS01 ";"LEG";"FGRXM";"CDG ";"AMS ";"2018-08-05T14:45:00Z";"2018-08-05T15:55:00Z"
"________20180806AF1440CDGAMS01 ";"LEG";"FGRHF";"CDG ";"AMS ";"2018-08-06T16:00:00Z";"2018-08-06T17:15:00Z"
"________20180807AF1440CDGAMS01 ";"LEG";"FGRXM";"CDG ";"AMS ";"2018-08-07T16:00:00Z";"2018-08-07T17:15:00Z"
"________20180807AF1340CDGAMS01 ";"LEG";"FGRXM";"CDG ";"AMS ";"2018-08-07T06:20:00Z";"2018-08-07T07:40:00Z"
"________20180808AF1440CDGAMS01 ";"LEG";"FGRHM";"CDG ";"AMS ";"2018-08-08T16:00:00Z";"2018-08-08T17:15:00Z"
"________20180808AF1140CDGAMS01 ";"LEG";"FGRHY";"CDG ";"AMS ";"2018-08-08T14:45:00Z";"2018-08-08T15:55:00Z"
"________20180809AF1440CDGAMS01 ";"LEG";"FGRXL";"CDG ";"AMS ";"2018-08-09T16:00:00Z";"2018-08-09T17:15:00Z"
"________20180809AF1140CDGAMS01 ";"LEG";"FGRXA";"CDG ";"AMS ";"2018-08-09T14:45:00Z";"2018-08-09T15:55:00Z"
"________20180809AF7516CDGTLS01 ";"LEG";"FGRHZ";"CDG ";"TLS ";"2018-08-09T05:25:00Z";"2018-08-09T06:45:00Z"
"________20180808AF7516CDGTLS01 ";"LEG";"FGRHY";"CDG ";"TLS ";"2018-08-08T05:25:00Z";"2018-08-08T06:45:00Z"
"________20180807AF7516CDGTLS01 ";"LEG";"FGRHL";"CDG ";"TLS ";"2018-08-07T05:25:00Z";"2018-08-07T06:45:00Z"
"________20180805AF7516CDGTLS01 ";"LEG";"FGRHY";"CDG ";"TLS ";"2018-08-05T06:26:00Z";"2018-08-05T07:50:00Z"
"________20180809AF1224CDGLIS01 ";"LEG";"FGRHY";"CDG ";"LIS ";"2018-08-09T06:10:00Z";"2018-08-09T08:40:00Z"
"________20180810AF1224CDGLIS01 ";"LEG";"FGRXA";"CDG ";"LIS ";"2018-08-10T06:10:00Z";"2018-08-10T08:40:00Z"
"________20180807AF1224CDGLIS01 ";"LEG";"FGRXJ";"CDG ";"LIS ";"2018-08-07T06:10:00Z";"2018-08-07T08:40:00Z"
"________20180806AF7732CDGBES01 ";"LEG";"FGRXM";"CDG ";"BES ";"2018-08-06T19:50:00Z";"2018-08-06T21:00:00Z"
"________20180806AF7646CDGLYS01 ";"LEG";"FGRXM";"CDG ";"LYS ";"2018-08-06T15:55:00Z";"2018-08-06T17:05:00Z"
"________20180807AF7652CDGLYS01 ";"LEG";"FGRHY";"CDG ";"LYS ";"2018-08-07T10:25:00Z";"2018-08-07T11:35:00Z"
"________20180808AF7648CDGLYS01 ";"LEG";"FGRHV";"CDG ";"LYS ";"2018-08-08T19:05:00Z";"2018-08-08T20:10:00Z"
"________20180810AF7648CDGLYS01 ";"LEG";"FGRHZ";"CDG ";"LYS ";"2018-08-10T19:05:00Z";"2018-08-10T20:10:00Z"
"________20180806AF7648CDGLYS01 ";"LEG";"FGRHY";"CDG ";"LYS ";"2018-08-06T19:05:00Z";"2018-08-06T20:10:00Z"
"________20180807AF7648CDGLYS01 ";"LEG";"FGRHZ";"CDG ";"LYS ";"2018-08-07T19:05:00Z";"2018-08-07T20:10:00Z"
"________20180805AF7648CDGLYS01 ";"LEG";"FGRHF";"CDG ";"LYS ";"2018-08-05T19:05:00Z";"2018-08-05T20:10:00Z"
"________20180809AF1422CDGMUC01 ";"LEG";"FGRXA";"CDG ";"MUC ";"2018-08-09T05:10:00Z";"2018-08-09T06:40:00Z"
"________20180809AF1122CDGMUC01 ";"LEG";"FGRHK";"CDG ";"MUC ";"2018-08-09T19:00:00Z";"2018-08-09T20:35:00Z"
"________20180809AF1022CDGMUC01 ";"LEG";"FGRHO";"CDG ";"MUC ";"2018-08-09T16:05:00Z";"2018-08-09T17:35:00Z"
"________20180808AF1722CDGMUC01 ";"LEG";"FGRHF";"CDG ";"MUC ";"2018-08-08T08:05:00Z";"2018-08-08T09:35:00Z"
"________20180808AF1122CDGMUC01 ";"LEG";"FGRXL";"CDG ";"MUC ";"2018-08-08T19:00:00Z";"2018-08-08T20:35:00Z"
"________20180810AF1722CDGMUC01 ";"LEG";"FGRHK";"CDG ";"MUC ";"2018-08-10T08:05:00Z";"2018-08-10T09:35:00Z"
"________20180810AF1022CDGMUC01 ";"LEG";"FGRHF";"CDG ";"MUC ";"2018-08-10T16:05:00Z";"2018-08-10T17:35:00Z"
"________20180810AF1822CDGMUC01 ";"LEG";"FGRXC";"CDG ";"MUC ";"2018-08-10T13:40:00Z";"2018-08-10T15:10:00Z"
"________20180805AF1722CDGMUC01 ";"LEG";"FGRHS";"CDG ";"MUC ";"2018-08-05T08:11:00Z";"2018-08-05T09:54:00Z"
"________20180805AF1122CDGMUC01 ";"LEG";"FGRXA";"CDG ";"MUC ";"2018-08-05T19:00:00Z";"2018-08-05T20:35:00Z"
"________20180805AF1822CDGMUC01 ";"LEG";"FGRHR";"CDG ";"MUC ";"2018-08-05T13:45:00Z";"2018-08-05T15:18:00Z"
"________20180807AF1122CDGMUC01 ";"LEG";"FGRHF";"CDG ";"MUC ";"2018-08-07T19:00:00Z";"2018-08-07T20:35:00Z"
"________20180807AF1022CDGMUC01 ";"LEG";"FGRHK";"CDG ";"MUC ";"2018-08-07T16:05:00Z";"2018-08-07T17:35:00Z"
"________20180806AF1822CDGMUC01 ";"LEG";"FGRHV";"CDG ";"MUC ";"2018-08-06T13:40:00Z";"2018-08-06T15:10:00Z"
"________20180808AF7586CDGFSC01 ";"LEG";"FGRHO";"CDG ";"FSC ";"2018-08-08T07:25:00Z";"2018-08-08T09:15:00Z"
"________20180806AF7586CDGFSC01 ";"LEG";"FGRHU";"CDG ";"FSC ";"2018-08-06T07:25:00Z";"2018-08-06T09:15:00Z"
"________20180808AF7660CDGMRS01 ";"LEG";"FGRHV";"CDG ";"MRS ";"2018-08-08T05:25:00Z";"2018-08-08T06:50:00Z"
"________20180810AF7660CDGMRS01 ";"LEG";"FGRHF";"CDG ";"MRS ";"2018-08-10T05:25:00Z";"2018-08-10T06:50:00Z"
"________20180806AF7660CDGMRS01 ";"LEG";"FGRHK";"CDG ";"MRS ";"2018-08-06T05:25:00Z";"2018-08-06T06:50:00Z"
"________20180807AF7660CDGMRS01 ";"LEG";"FGRHR";"CDG ";"MRS ";"2018-08-07T05:25:00Z";"2018-08-07T06:50:00Z"
"________20180809AF1680CDGLHR01 ";"LEG";"FGRHB";"CDG ";"LHR ";"2018-08-09T05:35:00Z";"2018-08-09T06:55:00Z"
"________20180809AF1580CDGLHR01 ";"LEG";"FGRHH";"CDG ";"LHR ";"2018-08-09T08:10:00Z";"2018-08-09T09:30:00Z"
"________20180809AF1380CDGLHR01 ";"LEG";"FGRHR";"CDG ";"LHR ";"2018-08-09T18:45:00Z";"2018-08-09T20:10:00Z"
"________20180809AF1280CDGLHR01 ";"LEG";"FGRHN";"CDG ";"LHR ";"2018-08-09T14:00:00Z";"2018-08-09T15:25:00Z"
"________20180808AF1580CDGLHR01 ";"LEG";"FGRHB";"CDG ";"LHR ";"2018-08-08T08:10:00Z";"2018-08-08T09:30:00Z"
"________20180808AF1380CDGLHR01 ";"LEG";"FGRXD";"CDG ";"LHR ";"2018-08-08T18:45:00Z";"2018-08-08T20:10:00Z"
"________20180808AF1280CDGLHR01 ";"LEG";"FGRXD";"CDG ";"LHR ";"2018-08-08T14:00:00Z";"2018-08-08T15:25:00Z"
"________20180808AF1180CDGLHR01 ";"LEG";"FGRHU";"CDG ";"LHR ";"2018-08-08T17:00:00Z";"2018-08-08T18:20:00Z"
"________20180810AF1580CDGLHR01 ";"LEG";"FGRHN";"CDG ";"LHR ";"2018-08-10T08:10:00Z";"2018-08-10T09:30:00Z"
