;airline_code;flight_number;departure_airport;arrival_airport;departure_date_utc_sc;cabin_name;type_pax;nb_paxs_total;operational_capacity;physical_capacity
0;KL;590;ACC;AMS;07/09/2019;Business;local;27.0;34;34
1;KL;590;ACC;AMS;08/09/2019;Business;local;27.0;34;34
2;KL;590;ACC;AMS;09/09/2019;Business;local;29.0;34;34
3;KL;590;ACC;AMS;10/09/2019;Business;local;30.0;34;34
4;KL;590;ACC;AMS;11/09/2019;Business;local;34.0;34;34
5;KL;590;ACC;AMS;12/09/2019;Business;local;31.0;34;34
6;KL;590;ACC;AMS;13/09/2019;Business;local;31.0;34;34
7;KL;590;ACC;AMS;14/09/2019;Business;local;33.0;34;34
8;KL;590;ACC;AMS;15/09/2019;Business;local;31.0;34;34
9;KL;590;ACC;AMS;16/09/2019;Business;local;27.0;34;34
10;KL;590;ACC;AMS;17/09/2019;Business;local;26.0;30;30
11;KL;590;ACC;AMS;18/09/2019;Business;local;30.0;34;34
12;KL;590;ACC;AMS;19/09/2019;Business;local;33.0;34;34
13;KL;590;ACC;AMS;07/09/2019;Economy;local;273.0;286;286
14;KL;590;ACC;AMS;08/09/2019;Economy;local;379.0;374;374
15;KL;590;ACC;AMS;09/09/2019;Economy;local;384.0;374;374
16;KL;590;ACC;AMS;10/09/2019;Economy;local;377.0;374;374
17;KL;590;ACC;AMS;11/09/2019;Economy;local;367.0;374;374
18;KL;590;ACC;AMS;12/09/2019;Economy;local;290.0;286;286
19;KL;590;ACC;AMS;13/09/2019;Economy;local;369.0;374;374
20;KL;590;ACC;AMS;14/09/2019;Economy;local;303.0;286;286
21;KL;590;ACC;AMS;15/09/2019;Economy;local;375.0;374;374
22;KL;590;ACC;AMS;16/09/2019;Economy;local;384.0;374;374
23;KL;590;ACC;AMS;17/09/2019;Economy;local;266.0;264;264
24;KL;590;ACC;AMS;18/09/2019;Economy;local;384.0;374;374
25;KL;590;ACC;AMS;19/09/2019;Economy;local;288.0;286;286
26;AF;487;AMM;CDG;07/09/2019;Business;cnt;5.0;24;24
27;AF;487;AMM;CDG;08/09/2019;Business;cnt;1.0;24;24
28;AF;487;AMM;CDG;09/09/2019;Business;cnt;3.0;24;24
29;AF;487;AMM;CDG;09/09/2019;Business;local;2.0;24;24
30;AF;487;AMM;CDG;10/09/2019;Business;cnt;10.0;24;24
31;AF;487;AMM;CDG;10/09/2019;Business;local;4.0;24;24
32;AF;487;AMM;CDG;11/09/2019;Business;cnt;10.0;24;24
33;AF;487;AMM;CDG;12/09/2019;Business;cnt;13.0;24;24
34;AF;487;AMM;CDG;12/09/2019;Business;local;10.0;24;24
35;AF;487;AMM;CDG;13/09/2019;Business;cnt;10.0;24;24
36;AF;487;AMM;CDG;13/09/2019;Business;local;1.0;24;24
37;AF;487;AMM;CDG;14/09/2019;Business;cnt;2.0;24;24
38;AF;487;AMM;CDG;14/09/2019;Business;local;2.0;24;24
39;AF;487;AMM;CDG;15/09/2019;Business;cnt;17.0;24;24
40;AF;487;AMM;CDG;16/09/2019;Business;cnt;13.0;24;24
41;AF;487;AMM;CDG;16/09/2019;Business;local;2.0;24;24
42;AF;487;AMM;CDG;17/09/2019;Business;cnt;13.0;24;24
43;AF;487;AMM;CDG;17/09/2019;Business;local;5.0;24;24
44;AF;487;AMM;CDG;18/09/2019;Business;cnt;8.0;24;24
45;AF;487;AMM;CDG;18/09/2019;Business;local;1.0;24;24
46;AF;487;AMM;CDG;19/09/2019;Business;cnt;8.0;24;24
47;AF;487;AMM;CDG;19/09/2019;Business;local;12.0;24;24
48;AF;487;AMM;CDG;07/09/2019;Economy;cnt;56.0;135;135
49;AF;487;AMM;CDG;07/09/2019;Economy;local;67.0;135;135
50;AF;487;AMM;CDG;08/09/2019;Economy;cnt;94.0;135;135
51;AF;487;AMM;CDG;08/09/2019;Economy;local;54.0;135;135
52;AF;487;AMM;CDG;09/09/2019;Economy;cnt;115.0;135;135
53;AF;487;AMM;CDG;09/09/2019;Economy;local;13.0;135;135
54;AF;487;AMM;CDG;10/09/2019;Economy;cnt;100.0;135;135
55;AF;487;AMM;CDG;10/09/2019;Economy;local;19.0;135;135
56;AF;487;AMM;CDG;11/09/2019;Economy;cnt;88.0;135;135
57;AF;487;AMM;CDG;11/09/2019;Economy;local;29.0;135;135
58;AF;487;AMM;CDG;12/09/2019;Economy;cnt;80.0;135;135
59;AF;487;AMM;CDG;12/09/2019;Economy;local;24.0;135;135
60;AF;487;AMM;CDG;13/09/2019;Economy;cnt;92.0;135;135
61;AF;487;AMM;CDG;13/09/2019;Economy;local;41.0;135;135
62;AF;487;AMM;CDG;14/09/2019;Economy;cnt;89.0;135;135
63;AF;487;AMM;CDG;14/09/2019;Economy;local;51.0;135;135
64;AF;487;AMM;CDG;15/09/2019;Economy;cnt;108.0;135;135
